Title,Body,Labels,Milestone,Assignees
"[P0] Remove secrets and development URLs from production configuration","Move JWT/database/frontend settings to environment or a secret manager, validate them at startup, enforce HTTPS/HSTS, configure production CORS, and route Angular services through environment.apiUrl. Acceptance: no secret, LocalDB, localhost URL, or placeholder production host is required in a production build.","security,priority:critical","48-hour production gate",""
"[P0] Stop exposing credentials and upgrade password hashing","Return user DTOs that exclude Password, replace unsalted SHA-256 with PasswordHasher/PBKDF2/Argon2id, remove known seed credentials, and document reset/migration. Acceptance: hashes never appear in JSON, new passwords are salted/slow-hashed, and serialization tests pass.","security,priority:critical","48-hour production gate",""
"[P0] Restore real frontend authentication and centralized 401 handling","Make authGuard reject missing/expired tokens, return UrlTree redirects, add an HTTP interceptor for auth and 401 logout, centralize API URLs, and document or replace localStorage token storage. Acceptance: guarded routes and API calls behave correctly for anonymous, expired, and valid sessions.","security,frontend,priority:critical","48-hour production gate",""
"[P1] Make invitation links durable, single-use, and rate-limited","Replace IMemoryCache invitation state with a durable hashed token record containing expiry, used-at, patient ID, and attempt metadata. Consume atomically and rate-limit invalid attempts. Acceptance: links survive restart/scale-out, replay returns 401, and invalid links reveal no patient data.","security,backend,priority:high","48-hour production gate",""
"[P1] Add safe error handling, async correctness, and input limits","Add centralized ProblemDetails handling and correlation IDs, remove .Result/.Wait() from request handlers, return generic client errors, validate bounds, and paginate unbounded patient/invoice/report queries. Acceptance: no exception details leak and response sizes are bounded.","backend,reliability,priority:high","48-hour production gate",""
"[P1] Establish a production verification pipeline","Fix authentication fixtures missing User.Role, add authorization/DTO/security regression tests and Angular guard/interceptor tests, then define CI restore/build/test steps. Acceptance: dotnet test, npm ci, npm test, and npm run build pass from their project directories and block merges on failure.","testing,ci,priority:high","48-hour production gate",""
"[P1] Remove misleading login and navigation affordances","Remove or implement noopClick login/social actions, replace # routes, and make navigation role-aware. Add keyboard/focus and responsive checks. Acceptance: every visible action works or clearly reports unavailable, no # navigation remains, and mobile login/sidebar workflows are usable.","frontend,ux,priority:high","48-hour production gate",""
"[UX-01] Define the MVP workflows and remove out-of-scope promises","Create a one-page workflow map for receptionist, doctor, billing, and patient registration. Mark each current route/control as keep, redesign, hide, or remove. The MVP should focus on sign-in, dashboard, patient search/profile, scheduling, encounters, prescriptions, billing, and logout. Acceptance: every visible feature has an owner and supported workflow; unsupported social login, self-signup, and placeholder modules are removed from the UI; the workflow map is checked into the repository.","ux,product,priority:high","UX reset",unassigned
"[UX-02] Replace the flat sidebar with role-based MVP navigation","Reduce the sidebar to grouped workflows: Today, Patients, Clinical, Billing, Reports, and Administration. Render only routes allowed by the authenticated user's role and remove duplicate/history clutter from the primary navigation. Acceptance: receptionist, doctor, billing, and admin each see a short relevant menu; active route is obvious; no unauthorized item is displayed; no navigation target is '#'.","ux,frontend,priority:high","UX reset",unassigned
"[UX-03] Remove dead and misleading login actions","Remove noopClick links and unsupported Google/Facebook/Apple actions, or implement them fully. Remove role preset buttons unless they represent a supported non-production demo mode. Keep one clear sign-in path with username, password, password visibility, submit, and honest recovery guidance. Acceptance: every visible control has a real outcome; no preventDefault-only action remains; login works by keyboard and screen reader.","ux,frontend,priority:high","UX reset",unassigned
"[UX-04] Rebuild login around clear states and safe feedback","Replace alert() and console response logging with an inline status region and field-level validation. Add loading, invalid credentials, network failure, locked/inactive account, and success states while preserving focus and preventing duplicate submissions. Acceptance: errors are understandable and accessible; sensitive response data is not logged; the user always knows whether submission is in progress or complete.","ux,frontend,accessibility,priority:high","UX reset",unassigned
"[UX-05] Establish shared loading, empty, error, and success patterns","Create reusable Angular patterns for page loading, empty results, failed requests, saved changes, destructive confirmation, and session expiry. Apply them first to patient search/profile and billing. Acceptance: those workflows do not use browser alerts for normal product feedback; every async view has loading/empty/error states; status messages are announced accessibly; retry actions are available where appropriate.","ux,frontend,priority:high","UX reset",unassigned
"[UX-06] Make the patient workflow the primary operational path","Design the receptionist flow as: search patient, review identity, open record, perform the next allowed action, and return to context. Add clear search, no-results, duplicate-risk, unsaved-change, and save-success states. Acceptance: a receptionist can reach a patient encounter in two predictable steps after search; patient identity remains visible on detail/edit views; destructive actions require confirmation.","ux,frontend,workflow,priority:high","UX reset",unassigned
"[UX-07] Simplify clinical and billing screens for decision-making","Audit encounters, prescriptions, billing, and reports to remove decorative panels and low-value fields from the primary view. Surface status, owner, date, next action, and validation errors first; move history and secondary details behind deliberate navigation. Acceptance: a doctor can identify the next clinical action without scanning unrelated modules; billing users can distinguish pending, overdue, paid, and failed states without color alone.","ux,frontend,workflow,priority:medium","UX reset",unassigned
"[UX-08] Make the application responsive and keyboard accessible","Test login, sidebar, patient search, patient detail, encounter, and billing at 320px, 768px, and desktop widths. Fix overflow, focus order, focus visibility, labels, live regions, touch targets, and table behavior. Acceptance: primary workflows complete without horizontal page scrolling; all actions are keyboard reachable; focus is visible; status/error text is linked to its control.","ux,frontend,accessibility,priority:high","UX reset",unassigned
"[UX-09] Add a role-based UX acceptance test pass","Create a lightweight test matrix for receptionist, doctor, billing, admin, anonymous, expired-session, and unauthorized scenarios. Verify visible navigation, route redirects, primary workflows, and error states against the authorization matrix. Acceptance: the test matrix is versioned; critical role journeys are automated or documented as repeatable checks; UI never presents a workflow the API will reject without explanation.","ux,testing,security,priority:high","UX reset",unassigned
